"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Jul-2023","EQ","588.20","595.95","582.25","585.45","588.90","589.25","590.37","629.55","466.85","24,799,250","14,640,854,129.20","350,400"
"03-Jul-2023","EQ","574.50","586.35","573.90","572.85","585.40","585.45","581.26","629.55","466.85","15,421,985","8,964,144,325.90","211,446"
"30-Jun-2023","EQ","574.00","574.00","570.20","569.80","572.35","572.85","572.30","629.55","458.00","8,718,232","4,989,442,645.40","155,913"
"28-Jun-2023","EQ","572.25","574.00","568.55","566.10","571.00","569.80","571.17","629.55","458.00","18,028,934","10,297,658,917.65","243,601"
"27-Jun-2023","EQ","558.25","567.95","555.65","557.05","567.30","566.10","560.63","629.55","458.00","10,694,768","5,995,785,528.20","211,284"
"26-Jun-2023","EQ","556.00","558.50","554.50","554.60","557.35","557.05","556.75","629.55","458.00","8,360,264","4,654,618,050.30","164,198"
"23-Jun-2023","EQ","562.00","562.10","553.80","562.95","555.45","554.60","556.89","629.55","430.70","12,215,712","6,802,803,838.55","218,058"
"22-Jun-2023","EQ","566.35","569.00","561.05","566.35","562.90","562.95","564.62","629.55","430.70","14,979,063","8,457,457,302.25","199,200"
"21-Jun-2023","EQ","567.40","569.50","565.65","567.40","566.30","566.35","567.46","629.55","430.70","14,946,871","8,481,784,144.45","219,147"
"20-Jun-2023","EQ","568.85","569.45","562.55","568.85","568.00","567.40","565.75","629.55","430.70","14,549,152","8,231,166,324.45","216,416"
"19-Jun-2023","EQ","571.25","572.75","565.90","571.25","569.20","568.85","568.29","629.55","430.70","17,903,691","10,174,491,934.45","213,062"
"16-Jun-2023","EQ","568.75","574.70","567.05","566.50","570.00","571.25","570.69","629.55","430.70","12,660,226","7,225,083,719.50","178,755"
"15-Jun-2023","EQ","576.00","576.70","565.25","576.55","566.75","566.50","571.49","629.55","430.70","17,934,877","10,249,589,135.90","232,221"
"14-Jun-2023","EQ","577.00","578.55","575.25","576.40","576.35","576.55","576.96","629.55","430.70","8,948,696","5,163,047,228.70","122,388"
